what,kind,bundleId,bundleVersion,description,time
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895625583
closed,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1329895628079
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329895629471
closed,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895629472
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329895644295
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895644524
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895644613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895653505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895654650
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329895655872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895658407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895663875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895668823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895685022
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895686778
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329895688861
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895689075
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895689154
closed,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895690347
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329895729485
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895739889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895749271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895815734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895840269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329895858225
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329895890137
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329895914458
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329895917512
