what,kind,bundleId,bundleVersion,description,time
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327471363123
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471365641
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471377882
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327471385348
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471386233
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471402276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471403807
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471749396
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1327471753261
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471755615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471761344
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1327471763446
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1327471767812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471770509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471773074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471792261
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471796465
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1327471799483
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1327471802521
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1327471804433
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1327471814912
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1327471816439
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1327471818406
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1327471825303
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1327471831665
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1327471835320
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1327471836344
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1327471839143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471844594
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471844772
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471847549
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1327471847602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471853219
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471856813
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1327471856864
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471858118
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471859296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471861982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471862122
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471863825
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1327471864024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471870905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471870961
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471877882
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1327471878012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1327471880472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471887465
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471946466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327471947620
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472100949
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327472114020
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327472123290
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472130727
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472190256
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327472273900
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472281229
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472333947
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327472336080
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327472336404
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1327472341074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472376782
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472425894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472440401
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472460800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472462444
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472465786
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472532313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472543685
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327472545099
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327472545451
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327472545514
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1327472567859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472575932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327472599821
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1327472603154
